person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_income_capped,loan_amnt_capped,income_band,age_band,loan_amount_band,interest_rate_band,default_flag,high_loan_to_income_flag,previous_default_flag,high_interest_flag
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,59000.0,29800.0,50k-75k,18-25,25k+,16%-20%,1,1,1,1
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,9600.0,1000.0,<30k,18-25,<5k,8%-12%,0,0,0,0
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,9600.0,5500.0,<30k,18-25,5k-10k,12%-16%,1,1,0,0
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,65500.0,29800.0,50k-75k,18-25,25k+,12%-16%,1,1,0,0
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,54400.0,29800.0,50k-75k,18-25,25k+,12%-16%,1,1,1,0
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,9900.0,2500.0,<30k,18-25,<5k,<8%,1,0,0,0
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,77100.0,29800.0,75k-100k,26-35,25k+,12%-16%,1,1,0,0
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,78956.0,29800.0,75k-100k,18-25,25k+,8%-12%,1,1,0,0
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,83000.0,29800.0,75k-100k,18-25,25k+,8%-12%,1,1,0,0
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,10000.0,1600.0,<30k,18-25,<5k,12%-16%,1,0,0,0
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,85000.0,29800.0,75k-100k,18-25,25k+,8%-12%,1,1,0,0
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,10000.0,4500.0,<30k,18-25,<5k,8%-12%,1,1,0,0
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,95000.0,29800.0,75k-100k,18-25,25k+,<8%,1,1,0,0
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,108160.0,29800.0,100k+,26-35,25k+,16%-20%,1,1,0,1
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,115000.0,29800.0,100k+,18-25,25k+,<8%,0,1,0,0
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,225000.0,29800.0,100k+,18-25,25k+,8%-12%,0,0,0,0
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,120000.0,29800.0,100k+,18-25,25k+,<8%,0,0,0,0
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,92111.0,29800.0,75k-100k,18-25,25k+,20%+,1,1,0,1
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,113000.0,29800.0,100k+,18-25,25k+,16%-20%,1,1,0,1
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,10800.0,1750.0,<30k,18-25,<5k,8%-12%,1,0,0,0
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,162500.0,29800.0,100k+,18-25,25k+,<8%,0,0,0,0
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,137000.0,29800.0,100k+,18-25,25k+,16%-20%,0,0,1,1
