person_age,person_income,person_home_ownership,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,credit_risk_score,credit_risk_level,predicted_default_probability,model_risk_band,review_priority
21,4200,RENT,PERSONAL,E,2750,16.95,0.65,N,18,Very High,0.9998271663304548,75%+,Critical Review
22,59000,RENT,PERSONAL,D,35000,16.02,0.59,Y,20,Very High,0.999712424908095,75%+,Critical Review
27,34000,RENT,MEDICAL,G,14000,19.82,0.41,N,19,Very High,0.99946356278666,75%+,Critical Review
23,19200,RENT,MEDICAL,G,6200,19.82,0.32,N,21,Very High,0.9994408023790032,75%+,Critical Review
28,24000,RENT,MEDICAL,D,16750,14.96,0.7,Y,17,Very High,0.999376209157722,75%+,Critical Review
50,44000,RENT,MEDICAL,G,20000,20.4,0.45,N,18,Very High,0.9993231116158812,75%+,Critical Review
22,10000,RENT,HOMEIMPROVEMENT,B,7000,12.21,0.7,N,14,High,0.9992383862196742,75%+,Critical Review
32,12000,RENT,MEDICAL,A,9325,8.38,0.78,N,11,High,0.9989369152073856,75%+,Critical Review
24,37680,RENT,EDUCATION,G,15000,19.82,0.4,N,20,Very High,0.9989177448521276,75%+,Critical Review
21,13000,RENT,DEBTCONSOLIDATION,C,9250,12.53,0.71,N,14,High,0.9987548313508404,75%+,Critical Review
47,38400,RENT,MEDICAL,F,22000,18.78,0.57,Y,22,Very High,0.9986747327322472,75%+,Critical Review
22,20796,RENT,DEBTCONSOLIDATION,D,10775,15.37,0.52,Y,21,Very High,0.9985811805096568,75%+,Critical Review
35,30000,RENT,DEBTCONSOLIDATION,G,8000,20.52,0.27,N,19,Very High,0.99852718547704,75%+,Critical Review
24,4800,RENT,VENTURE,E,2400,16.0,0.5,Y,23,Very High,0.9984887929125456,75%+,Critical Review
26,44000,RENT,HOMEIMPROVEMENT,G,12500,22.11,0.28,Y,23,Very High,0.9984587130209138,75%+,Critical Review
23,56000,RENT,MEDICAL,G,21600,21.21,0.39,Y,23,Very High,0.9984356909075216,75%+,Critical Review
23,32000,RENT,DEBTCONSOLIDATION,D,20000,12.61,0.63,N,15,Very High,0.99839200629102,75%+,Critical Review
31,30372,RENT,PERSONAL,D,20200,14.74,0.67,N,14,High,0.9983774872301656,75%+,Critical Review
24,23040,RENT,DEBTCONSOLIDATION,F,9500,19.04,0.41,Y,24,Very High,0.9983454147024432,75%+,Critical Review
23,32900,RENT,EDUCATION,D,20000,16.0,0.61,N,19,Very High,0.9982245081407402,75%+,Critical Review
31,30372,RENT,PERSONAL,D,20200,14.74,0.67,Y,19,Very High,0.9982170759472108,75%+,Critical Review
30,54000,MORTGAGE,HOMEIMPROVEMENT,G,24000,18.72,0.44,N,16,Very High,0.998217000673952,75%+,Critical Review
