person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_income_capped,loan_amnt_capped,income_band,age_band,loan_amount_band,interest_rate_band,default_flag,high_loan_to_income_flag,previous_default_flag,high_interest_flag,loan_grade_score,home_ownership_score,loan_to_income_score,interest_rate_score,previous_default_score,employment_length_score,credit_history_score,credit_risk_score,credit_risk_level,high_risk_borrower_flag,watchlist_flag,model_priority
24,54000,RENT,0.0,PERSONAL,G,16750,20.11,1,0.31,Y,2,54000.0,16750.0,50K-75K,18-25,15K-25K,20%+,1,1,1,1,7,3,4,4,4,2,2,26,Very High,1,1,Priority Review
26,69846,RENT,2.0,EDUCATION,F,22500,18.99,1,0.32,Y,2,69846.0,22500.0,50K-75K,26-35,15K-25K,16%-20%,1,1,1,1,6,3,4,4,4,1,2,24,Very High,1,1,Priority Review
26,42000,RENT,0.0,MEDICAL,F,21000,17.26,1,0.5,Y,4,42000.0,21000.0,30K-50K,26-35,15K-25K,16%-20%,1,1,1,1,6,3,4,4,4,2,1,24,Very High,1,1,Priority Review
29,59000,RENT,4.0,VENTURE,G,20000,20.17,1,0.34,Y,5,59000.0,20000.0,50K-75K,26-35,15K-25K,20%+,1,1,1,1,7,3,4,4,4,1,1,24,Very High,1,1,Priority Review
23,44000,RENT,0.0,HOMEIMPROVEMENT,F,13000,17.26,1,0.3,Y,3,44000.0,13000.0,30K-50K,18-25,10K-15K,16%-20%,1,1,1,1,6,3,4,4,4,2,1,24,Very High,1,1,Priority Review
24,23040,RENT,0.0,DEBTCONSOLIDATION,F,9500,19.04,1,0.41,Y,4,23040.0,9500.0,<30K,18-25,5K-10K,16%-20%,1,1,1,1,6,3,4,4,4,2,1,24,Very High,1,1,Priority Review
23,70550,RENT,3.0,MEDICAL,F,25000,19.04,1,0.3,Y,4,70550.0,25000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,1,1,6,3,4,4,4,1,1,23,Very High,1,1,Priority Review
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,16.82,1,0.42,Y,2,60000.0,25000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,1,2,23,Very High,1,1,Priority Review
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,42360.0,25000.0,30K-50K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
26,78000,RENT,0.0,HOMEIMPROVEMENT,E,24250,17.56,1,0.31,Y,3,78000.0,24250.0,75K-100K,26-35,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
24,73000,RENT,0.0,VENTURE,E,22400,16.7,1,0.31,Y,4,73000.0,22400.0,50K-75K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
23,56000,RENT,8.0,MEDICAL,G,21600,21.21,1,0.39,Y,4,56000.0,21600.0,50K-75K,18-25,15K-25K,20%+,1,1,1,1,7,3,4,4,4,0,1,23,Very High,1,1,Priority Review
23,78000,RENT,0.0,HOMEIMPROVEMENT,F,20000,18.25,1,0.26,Y,2,78000.0,20000.0,75K-100K,18-25,15K-25K,16%-20%,1,0,1,1,6,3,2,4,4,2,2,23,Very High,1,1,Priority Review
24,54000,RENT,1.0,PERSONAL,E,20000,17.04,1,0.37,Y,3,54000.0,20000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
25,64000,RENT,0.0,DEBTCONSOLIDATION,E,20000,16.82,1,0.31,Y,4,64000.0,20000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
23,54504,RENT,1.0,PERSONAL,E,20000,16.7,1,0.37,Y,4,54504.0,20000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
26,53000,RENT,1.0,PERSONAL,E,20000,16.35,1,0.38,Y,4,53000.0,20000.0,50K-75K,26-35,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
24,43400,RENT,2.0,DEBTCONSOLIDATION,E,18000,16.63,1,0.41,Y,2,43400.0,18000.0,30K-50K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,1,2,23,Very High,1,1,Priority Review
26,59000,RENT,2.0,PERSONAL,E,18000,16.0,1,0.31,Y,2,59000.0,18000.0,50K-75K,26-35,15K-25K,12%-16%,1,1,1,1,5,3,4,4,4,1,2,23,Very High,1,1,Priority Review
25,39000,RENT,1.0,HOMEIMPROVEMENT,E,16050,17.14,1,0.41,Y,3,39000.0,16050.0,30K-50K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
39,49000,RENT,0.0,DEBTCONSOLIDATION,F,15175,19.13,1,0.31,Y,11,49000.0,15175.0,30K-50K,36-45,15K-25K,16%-20%,1,1,1,1,6,3,4,4,4,2,0,23,Very High,1,1,Priority Review
26,48000,RENT,1.0,PERSONAL,E,15000,18.64,1,0.31,Y,3,48000.0,15000.0,30K-50K,26-35,10K-15K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
23,44000,RENT,1.0,EDUCATION,E,13000,18.39,1,0.3,Y,3,44000.0,13000.0,30K-50K,18-25,10K-15K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
26,44000,RENT,4.0,HOMEIMPROVEMENT,G,12500,22.11,1,0.28,Y,2,44000.0,12500.0,30K-50K,26-35,10K-15K,20%+,1,0,1,1,7,3,2,4,4,1,2,23,Very High,1,1,Priority Review
30,31200,RENT,0.0,PERSONAL,E,12000,16.45,1,0.38,Y,7,31200.0,12000.0,30K-50K,26-35,10K-15K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
